"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"451","IBRiS","Wydarzenia","2021-07-06","2021-07-06","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,22.2,9.1,5.9,7.8,NA,NA,17.2,NA,NA,NA,NA,NA,NA,NA
"452","Social Changes","wPolityce.pl","2021-07-02","2021-07-05","National","1057","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,33,21,9,2,8,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"453","Research Partner","Ariadna","2021-07-02","2021-07-05","National","1041","Provided","Not Available","0.1%",NA,NA,3.4,NA,NA,NA,NA,NA,NA,34.6,21,7.2,2.1,9.3,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA
"454","Opinia24","RMF","2021-07-02","2021-07-05","National","1000","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,32,25,9,4,11,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
"455","IBRiS","Wydarzenia","2021-06-30","2021-06-30","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,18.4,10.1,7.2,9.2,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA
"456","Social Changes","wPolityce.pl","2021-06-25","2021-06-28","National","1082","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,34,17,10,3,10,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"457","Instytut Badań Pollster","SE.pl","2021-06-26","2021-06-27","National","1088","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,21,6.3,4.8,8,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"458","IBRiS","Onet.pl","2021-06-25","2021-06-26","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,17.8,9.2,6,10.3,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA
"459","Kantar","Fakty TVN and TVN24","2021-06-24","2021-06-25","National","583","Provided","Not Available","1%",NA,NA,1,NA,NA,NA,NA,NA,NA,34,21,7,4,9,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"460","Social Changes","wPolityce.pl","2021-06-18","2021-06-21","National","1060","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,33,19,9,4,7,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
"461","Research Partner","Ariadna","2021-06-18","2021-06-21","National","1048","Provided","Not Available","0.1%",NA,NA,2.2,NA,NA,NA,NA,NA,NA,34.6,19.3,7.8,3.4,6.8,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
"462","IBRiS","Rzeczpospolita","2021-06-19","2021-06-20","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,14.1,9.9,5.5,11.2,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA
"463","United Survey","WP.pl","2021-06-19","2021-06-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,16.2,11.5,5.8,7.8,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA
"464","Kantar","","2021-06-11","2021-06-16","National","986","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,36,24,7,5,7,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
"465","Social Changes","wPolityce.pl","2021-06-11","2021-06-14","National","1068","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,17,10,3,7,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
"466","IBRiS","Radio ZET","2021-06-11","2021-06-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,15.2,8.9,5.5,9.5,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA
"467","Research Partner","Ariadna","2021-06-04","2021-06-07","National","1106","Provided","Not Available","0.1%",NA,NA,2.6,NA,NA,NA,NA,NA,NA,34.5,17.8,7.5,3,6.8,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA
"468","Instytut Badań Pollster","SE.pl","2021-06-05","2021-06-06","National","1047","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,18.4,7,4.9,9.7,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"469","Social Changes","wPolityce.pl","2021-06-04","2021-06-06","National","1067","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,34,16,8,3,9,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
"470","United Survey","WP.pl","2021-06-04","2021-06-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,15.3,8.8,5.1,8.3,NA,NA,25.1,NA,NA,NA,NA,NA,NA,NA
"471","IBRiS","Onet.pl","2021-05-31","2021-05-31","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,16.2,9.6,5.7,5.2,NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA
"472","Social Changes","wPolityce.pl","2021-05-28","2021-05-31","National","1068","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,35,15,9,3,7,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
"473","IBRiS","Interia.pl","2021-05-28","2021-05-28","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3,15.9,9.4,4.4,7.3,NA,NA,22.9,NA,NA,NA,NA,NA,NA,NA
"474","United Survey","DGP and RMF FM","2021-05-25","2021-05-25","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,14.4,8.9,4.8,9.1,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA
"475","Social Changes","wPolityce.pl","2021-05-21","2021-05-24","National","1088","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,34,17,9,2,10,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"476","IBRiS","Rzeczpospolita","2021-05-21","2021-05-22","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,16.1,11.7,5.5,7.8,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"477","United Survey","WP.pl","2021-05-21","2021-05-21","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,14.6,10.1,5.9,6.3,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA
"478","Estymator","DoRzeczy.pl","2021-05-20","2021-05-21","National","1022","Provided","Not Available","0.1%",NA,NA,1.9,NA,NA,NA,NA,NA,NA,38.4,14.6,10.8,4.7,7.1,NA,NA,22.2,NA,NA,NA,NA,NA,NA,NA
"479","Instytut Badań Pollster","SE.pl","2021-05-19","2021-05-20","National","1013","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,19.2,7.3,5,8.7,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA
"480","PGB Opinium","","2021-05-18","2021-05-20","National","1011","Provided","Not Available","0.1%",NA,NA,0.8,NA,NA,NA,NA,NA,NA,34.1,15.8,8.7,3.8,9.4,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA
"481","IBRiS","Wydarzenia","2021-05-19","2021-05-19","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,15.7,10.5,5.7,7.6,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA
"482","Research Partner","Ariadna","2021-05-14","2021-05-17","National","1098","Provided","Not Available","0.1%",NA,NA,2.3,NA,NA,NA,NA,NA,NA,35.7,19.2,7.4,2,8.9,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA
"483","Social Changes","wPolityce.pl","2021-05-14","2021-05-17","National","1064","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,33,16,9,3,12,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"484","UCE Research","WP.pl","2021-05-15","2021-05-16","National","1122","Provided","Not Available","0.1%",NA,NA,6.4,NA,NA,NA,NA,NA,NA,35.7,17.3,5.6,3,9.7,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA
"485","IBSP","StanPolityki.pl","2021-05-13","2021-05-14","National","1001","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,15.1,10,2.4,11.5,NA,NA,27.7,NA,NA,NA,NA,NA,NA,NA
"486","Kantar","","2021-05-07","2021-05-12","National","984","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38,24,7,3,6,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"487","Kantar","","2021-05-11","2021-05-11","National","1000","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,32,19,10,4,11,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"488","United Survey","DGP and RMF FM","2021-05-11","2021-05-11","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,13.4,10.7,4.8,9.5,NA,NA,24.3,NA,NA,NA,NA,NA,NA,NA
"489","Social Changes","wPolityce.pl","2021-05-07","2021-05-10","National","1073","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,34,18,7,2,10,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
"490","IBRiS","Onet.pl","2021-05-08","2021-05-09","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,16.2,10.5,6.2,6.4,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
"491","IBRiS","Wydarzenia","2021-05-05","2021-05-05","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,16.6,11.6,4.9,9.8,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA
"492","United Survey","WP.pl","2021-05-04","2021-05-04","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,16.4,11.3,5.5,6.2,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA
"493","Social Changes","wPolityce.pl","2021-04-30","2021-05-04","National","1070","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,34,16,10,2,10,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"494","Research Partner","Ariadna","2021-04-30","2021-05-03","National","1127","Provided","Not Available","0.1%",NA,NA,1.8,NA,NA,NA,NA,NA,NA,32,19.7,8.3,1.7,8.8,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA
"495","Kantar","Fakty TVN and TVN24","2021-04-27","2021-04-28","National","1001","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,33,23,10,3,8,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
"496","Ipsos","OKO.press","2021-04-26","2021-04-28","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,19,9,2,12,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"497","Social Changes","wPolityce.pl","2021-04-23","2021-04-26","National","1067","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,32,20,10,2,8,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"498","IBRiS","Onet.pl","2021-04-24","2021-04-25","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,18.2,11.3,5,8.7,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA
"499","IBRiS","Wydarzenia","2021-04-20","2021-04-20","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,18.4,12.9,5.5,9.2,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA
"500","Instytut Badań Pollster","SE.pl","2021-04-20","2021-04-20","National","1066","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,17.3,10.1,5.1,8.6,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA
"501","Research Partner","Ariadna","2021-04-16","2021-04-19","National","1115","Provided","Not Available","0.1%",NA,NA,2.5,NA,NA,NA,NA,NA,NA,32.5,18.8,10.2,2.7,9.3,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA
"502","Social Changes","wPolityce.pl","2021-04-16","2021-04-19","National","1072","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,34,16,10,2,8,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
"503","United Survey","WP.pl","2021-04-16","2021-04-16","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,19.8,9,5.7,8.1,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA
"504","Kantar","","2021-04-09","2021-04-16","National","980","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,25,10,3,9,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
"505","Estymator","DoRzeczy.pl","2021-04-09","2021-04-14","National","1029","Provided","Not Available","0.1%",NA,NA,2.1,NA,NA,NA,NA,NA,NA,35.9,18.1,10.7,5.2,6.8,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA
"506","Social Changes","wPolityce.pl","2021-04-09","2021-04-12","National","1069","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,33,18,10,2,9,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"507","IBRiS","RP","2021-04-09","2021-04-10","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,17.7,9.5,6,8.4,NA,NA,22.3,NA,NA,NA,NA,NA,NA,NA
"508","United Survey","DGP and RMF","2021-04-09","2021-04-09","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,20.2,10,5.5,5.4,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA
"509","IBSP","StanPolityki.pl","2021-04-07","2021-04-09","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.36,20.32,10.81,2,8.77,NA,NA,25.05,NA,NA,NA,NA,NA,NA,2.69
"510","Research Partner","Ariadna","2021-04-02","2021-04-06","National","1129","Provided","Not Available","0.1%",NA,NA,3.1,NA,NA,NA,NA,NA,NA,30.3,19.6,8.2,2.6,8.5,NA,NA,26.7,NA,NA,NA,NA,NA,NA,NA
"511","Social Changes","wPolityce.pl","2021-04-02","2021-04-05","National","1074","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,30,20,13,2,8,NA,NA,22,NA,NA,NA,NA,NA,NA,2
"512","CBM Indicator","Rzeczpospolita","2021-03-25","2021-03-30","National","1000","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,26.1,15.9,8.2,5.1,6.1,NA,NA,17.8,NA,NA,NA,NA,NA,NA,19.6
"513","Social Changes","wPolityce.pl","2021-03-26","2021-03-29","National","1094","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,28,17,12,5,10,NA,NA,22,NA,NA,NA,NA,NA,NA,2
"514","IBRiS","Onet","2021-03-27","2021-03-28","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,31,17.3,9.1,5,7.3,NA,NA,17.2,NA,NA,NA,NA,NA,NA,13.1
"515","Research Partner","Ariadna","2021-03-19","2021-03-22","National","1128","Provided","Not Available","0.1%",NA,NA,3.1,NA,NA,NA,NA,NA,NA,33.1,17.5,9.6,2.6,9.6,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA
"516","Social Changes","wPolityce.pl","2021-03-19","2021-03-22","National","1085","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,29,18,10,3,10,NA,NA,24,NA,NA,NA,NA,NA,NA,2
"517","United Survey","WP.pl","2021-03-19","2021-03-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,21.2,10.7,7.2,7.5,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA
"518","Kantar","Gazeta Wyborcza and OKO.press","2021-03-17","2021-03-19","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,16,8,3,9,NA,NA,23,NA,NA,NA,NA,NA,NA,16
"519","Kantar","GW and OKO.press","2021-03-17","2021-03-18","National","1000","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,19,9,3,10,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
"520","Social Changes","wPolityce.pl","2021-03-12","2021-03-15","National","1078","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,31,18,10,2,9,NA,NA,25,NA,NA,NA,NA,NA,NA,2
"521","Estymator","DoRzeczy.pl","2021-03-11","2021-03-12","National","1025","Provided","Not Available","0.1%",NA,NA,2.4,NA,NA,NA,NA,NA,NA,37.7,17.1,11.6,5.9,6.8,NA,NA,18.3,NA,NA,NA,NA,NA,NA,0.2
"522","PGB Opinium","","2021-03-10","2021-03-12","National","1098","Provided","Not Available","0.1%",NA,NA,1.2,NA,NA,NA,NA,NA,NA,32.3,20.2,9.3,4.4,8.3,NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA
"523","Kantar","","2021-03-05","2021-03-10","National","985","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,28,9,3,6,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"524","Social Changes","wPolityce.pl","2021-03-05","2021-03-08","National","1054","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,31,20,12,3,9,NA,NA,20,NA,NA,NA,NA,NA,NA,2
"525","Opinia24","RMF","2021-03-01","2021-03-07","National","3007","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,31,22,10,2,9,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
"526","IBRiS","Rzeczpospolita","2021-03-05","2021-03-06","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,20.6,8.4,6.8,7.1,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA
"527","United Survey","WP.pl","2021-03-05","2021-03-05","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,19.8,10.9,6,6,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"528","Instytut Badań Pollster","SE.pl","2021-03-03","2021-03-04","National","1033","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.86,20.32,9.79,4.8,6.95,NA,NA,17.32,NA,NA,NA,NA,NA,NA,0.96
"529","Social Changes","wPolityce.pl","2021-02-26","2021-03-01","National","1071","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,28,22,11,3,9,NA,NA,21,NA,NA,NA,NA,NA,NA,2
"530","IBRiS","Onet","2021-02-27","2021-02-28","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,18.2,10.1,5.9,5,NA,NA,17.3,NA,NA,NA,NA,NA,NA,10.6
"531","Estymator","doRzeczy.pl","2021-02-25","2021-02-26","National","1041","Provided","Not Available","0.1%",NA,NA,2.1,NA,NA,NA,NA,NA,NA,37.6,19.2,11.4,5.5,6.9,NA,NA,17.1,NA,NA,NA,NA,NA,NA,0.2
"532","IBSP","","2021-02-25","2021-02-26","National","1001","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.96,18.85,9.34,3.23,6.96,NA,NA,31.26,NA,NA,NA,NA,NA,NA,3.4
"533","Social Changes","wPolityce.pl","2021-02-19","2021-02-22","National","1076","Provided","Not Available","1%",NA,NA,4,NA,NA,NA,NA,NA,NA,30,19,12,2,8,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"534","United Survey","WP.pl","2021-02-19","2021-02-19","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,21.3,11.4,6.4,6.6,NA,NA,16.1,NA,NA,NA,NA,NA,NA,NA
"535","PGB Opinium","","2021-02-15","2021-02-16","National","1100","Provided","Not Available","0.1%",NA,NA,0.5,NA,NA,NA,NA,NA,NA,33.9,20.7,8.2,5.3,8.9,NA,NA,22.4,NA,NA,NA,NA,NA,NA,NA
"536","Social Changes","wPolityce.pl","2021-02-12","2021-02-15","National","1095","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,30,17,12,3,10,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"537","Estymator","DoRzeczy.pl","2021-02-12","2021-02-13","National","1022","Provided","Not Available","0.1%",NA,NA,2.4,NA,NA,NA,NA,NA,NA,37.4,21.5,9.7,5.4,7.1,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA
"538","IPSOS","OKO","2021-02-10","2021-02-12","National","1014","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,31,21,11,4,11,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"539","Kantar","","2021-02-05","2021-02-10","National","983","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,37,22,8,5,7,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
"540","Social Changes","wPolityce.pl","2021-02-05","2021-02-08","National","1051","Provided","Not Available","1%",NA,NA,5,NA,NA,NA,NA,NA,NA,29,20,10,2,9,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"541","IBRiS","Rzeczpospolita","2021-02-05","2021-02-06","National","1100","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,22,9,6,7,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"542","United Survey","WP.pl","2021-02-05","2021-02-05","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,22.2,9,6.3,7.9,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA
"543","Kantar","","2021-01-29","2021-02-03","National","980","Provided","Not Available","1%",NA,NA,2,NA,NA,NA,NA,NA,NA,35,28,7,5,6,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
"544","Instytut Badań Pollster","SE.pl","2021-01-29","2021-02-01","National","1081","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.42,23.21,9.73,3.59,5.64,NA,NA,15.25,NA,NA,NA,NA,NA,NA,NA
"545","Social Changes","wPolityce.pl","2021-01-29","2021-02-01","National","1074","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,31,17,9,2,9,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
"546","IBRiS","Onet.pl","2021-01-30","2021-01-31","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,21.6,10,6.2,8.3,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"547","Estymator","DoRzeczy.pl","2021-01-28","2021-01-29","National","1029","Provided","Not Available","0.1%",NA,NA,2,NA,NA,NA,NA,NA,NA,38.4,21.8,11.1,5.2,6.7,NA,NA,14.6,NA,NA,NA,NA,NA,NA,0.2
"548","IBSP","","2021-01-25","2021-01-26","National","1001","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.96,20.24,7.56,2.61,10.99,NA,NA,27.7,NA,NA,NA,NA,NA,NA,3.94
"549","Social Changes","wPolityce.pl","2021-01-22","2021-01-25","National","1066","Provided","Not Available","1%",NA,NA,3,NA,NA,NA,NA,NA,NA,29,21,9,4,8,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"550","IBRiS","WP.pl","2021-01-23","2021-01-23","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,22,10.7,5.6,8.4,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA
"551","United Survey","DGP and RMF","2021-01-22","2021-01-22","National","1000","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,23.8,10.2,4.1,5.2,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA
"552","PGB Opinium","","2021-01-20","2021-01-21","National","1100","Provided","Not Available","0.1%",NA,NA,0.9,NA,NA,NA,NA,NA,NA,34.7,20.8,8.6,5.5,6.5,NA,NA,14.3,NA,NA,NA,NA,NA,NA,8.8
"553","IBRiS","Fakt.pl","2021-01-19","2021-01-19","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,20,7.4,5,6.6,NA,NA,13.5,NA,NA,NA,NA,NA,NA,15.2
"554","Social Changes","wPolityce.pl","2021-01-15","2021-01-18","National","1097","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,22,10,2,10,NA,NA,22,NA,NA,NA,NA,NA,NA,1
"555","Estymator","DoRzeczy.pl","2021-01-14","2021-01-15","National","1020","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,22.1,10.2,6.6,6,NA,NA,12.9,NA,NA,NA,NA,NA,NA,0.3
"556","CBOS","","2021-01-04","2021-01-14","National","1150","Provided","Not Available","0.1%",NA,NA,1,NA,NA,NA,NA,NA,NA,35.2,13.7,5,2,5.3,NA,NA,18.2,NA,NA,NA,NA,NA,NA,19.6
"557","Social Changes","wPolityce.pl","2021-01-08","2021-01-11","National","1085","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,23,9,2,8,NA,NA,22,NA,NA,NA,NA,NA,NA,1
"558","IBRiS","RP","2021-01-08","2021-01-09","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,24,9,6.1,7.5,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA
"559","Social Changes","wPolityce.pl","2021-01-01","2021-01-05","National","1090","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,31,24,10,2,7,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"560","Estymator","DoRzeczy.pl","2020-12-28","2020-12-29","National","1031","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,23.6,10.9,7.4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"561","Social Changes","wPolityce.pl","2020-12-25","2020-12-28","National","1040","Provided","Not Available","1%",NA,NA,5,NA,NA,NA,NA,NA,NA,35,25,13,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"562","IBRiS","WP.pl","2020-12-21","2020-12-22","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,23.6,8.9,6,4.5,NA,NA,9.1,NA,NA,NA,NA,NA,NA,14.7
"563","CBM Indicator","Rzeczpospolita","2020-12-17","2020-12-22","National","1000","Provided","Not Available","0.1%",NA,NA,3.4,NA,NA,NA,NA,NA,NA,25.7,20.3,8.6,5.4,6.5,NA,NA,13.2,NA,NA,NA,NA,NA,NA,16.9
"564","Social Changes","wPolityce.pl","2020-12-18","2020-12-21","National","1096","Provided","Not Available","1%",NA,NA,5,NA,NA,NA,NA,NA,NA,33,26,14,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
